Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Prop de Personas en NBI (%),Prop de Personas en miseria,Componente vivienda,Componente Servicios,Componente Hacinamiento,Componente Inasistencia,Componente dependencia económica
05,ANTIOQUIA,001,MEDELLÍN,5.23,0.42,0.28,0.19,1.56,1.61,2.05
05,ANTIOQUIA,002,ABEJORRAL,13.96,1.37,0.38,0.50,2.66,1.24,10.68
05,ANTIOQUIA,004,ABRIAQUÍ,11.63,1.21,1.73,1.59,2.34,0.61,6.96
05,ANTIOQUIA,021,ALEJANDRÍA,12.68,0.89,0.71,0.08,1.99,0.89,9.91
05,ANTIOQUIA,030,AMAGÁ,9.66,0.94,0.53,0.28,2.37,1.91,5.59
05,ANTIOQUIA,031,AMALFI,22.38,4.94,8.89,2.98,4.62,2.12,10.01
05,ANTIOQUIA,034,ANDES,12.29,1.45,0.53,1.38,2.75,2.22,7.68
05,ANTIOQUIA,036,ANGELÓPOLIS,13.03,1.54,1.20,0.10,4.63,1.34,7.30
05,ANTIOQUIA,038,ANGOSTURA,20.52,3.08,0.39,1.06,7.23,1.75,13.39
05,ANTIOQUIA,040,ANORÍ,28.00,7.83,7.17,7.23,7.23,2.89,13.35
05,ANTIOQUIA,042,SANTAFÉ DE ANTIOQUIA,14.13,2.12,1.34,1.26,6.03,1.72,6.16
05,ANTIOQUIA,044,ANZA,16.33,2.16,1.17,0.55,5.78,2.00,9.15
05,ANTIOQUIA,045,APARTADÓ,14.67,3.05,5.19,1.81,4.33,1.71,5.28
05,ANTIOQUIA,051,ARBOLETES,62.49,23.22,58.13,11.34,9.07,1.13,12.02
05,ANTIOQUIA,055,ARGELIA,17.14,2.20,1.96,2.79,3.18,2.17,9.56
05,ANTIOQUIA,059,ARMENIA,8.36,0.65,0.16,0.24,1.10,0.55,6.97
05,ANTIOQUIA,079,BARBOSA,7.01,0.63,0.46,0.88,1.29,1.71,3.37
05,ANTIOQUIA,086,BELMIRA,13.39,0.93,0.39,0.93,3.93,0.84,8.30
05,ANTIOQUIA,088,BELLO,5.58,0.61,0.68,0.79,1.49,1.39,1.95
05,ANTIOQUIA,091,BETANIA,16.22,2.34,0.69,0.27,5.09,1.82,10.70
05,ANTIOQUIA,093,BETULIA,17.18,2.35,1.13,0.81,4.57,2.46,10.94
05,ANTIOQUIA,101,CIUDAD BOLÍVAR,11.85,1.33,0.45,0.55,2.44,1.40,8.49
05,ANTIOQUIA,107,BRICEÑO,25.66,5.15,3.62,3.36,7.62,2.56,14.48
05,ANTIOQUIA,113,BURITICÁ,29.14,6.60,0.46,3.28,11.79,6.50,14.62
05,ANTIOQUIA,120,CÁCERES,49.83,18.42,38.05,8.92,7.34,3.36,14.89
05,ANTIOQUIA,125,CAICEDO,18.62,3.41,0.88,2.02,6.66,1.81,11.19
05,ANTIOQUIA,129,CALDAS,5.47,0.39,0.23,0.15,1.36,1.55,2.63
05,ANTIOQUIA,134,CAMPAMENTO,24.64,5.54,3.46,2.05,9.69,2.24,14.43
05,ANTIOQUIA,138,CAÑASGORDAS,22.79,4.62,2.51,2.51,7.38,4.58,11.36
05,ANTIOQUIA,142,CARACOLÍ,12.14,1.59,2.40,2.68,2.55,0.53,5.56
05,ANTIOQUIA,145,CARAMANTA,8.92,0.26,0.26,0.19,1.26,0.52,6.96
05,ANTIOQUIA,147,CAREPA,20.98,5.19,9.84,1.82,6.06,2.93,6.75
05,ANTIOQUIA,148,EL CARMEN DE VIBORAL,5.85,0.37,0.05,0.18,2.11,1.16,2.77
05,ANTIOQUIA,150,CAROLINA,6.23,0.33,0.33,0.42,1.14,0.36,4.31
05,ANTIOQUIA,154,CAUCASIA,22.10,5.03,14.03,1.20,5.63,1.87,5.38
05,ANTIOQUIA,172,CHIGORODÓ,21.19,6.13,7.14,4.76,6.68,2.27,8.67
05,ANTIOQUIA,190,CISNEROS,13.24,1.81,0.44,4.58,2.73,1.69,6.02
05,ANTIOQUIA,197,COCORNÁ,14.31,1.67,0.63,0.70,3.73,1.01,10.11
05,ANTIOQUIA,206,CONCEPCIÓN,12.48,1.49,0.18,0.69,4.79,1.64,6.66
05,ANTIOQUIA,209,CONCORDIA,18.54,1.94,0.74,0.82,4.32,1.38,13.57
05,ANTIOQUIA,212,COPACABANA,3.81,0.26,0.21,0.14,0.87,0.84,2.07
05,ANTIOQUIA,234,DABEIBA,47.26,28.68,24.31,28.39,22.40,6.83,20.09
05,ANTIOQUIA,237,DON MATÍAS,6.10,0.34,0.08,0.10,0.84,2.05,3.40
05,ANTIOQUIA,240,EBÉJICO,13.89,2.03,1.17,0.28,3.33,0.74,10.48
05,ANTIOQUIA,250,EL BAGRE,35.62,13.24,23.94,7.76,7.80,3.09,10.17
05,ANTIOQUIA,264,ENTRERRIOS,7.03,0.32,0.28,0.30,0.64,1.55,4.58
05,ANTIOQUIA,266,ENVIGADO,2.07,0.06,0.03,0.04,0.37,0.90,0.78
